asin_or_url,title,brand,department,category,categories,description,short_description,image_urls,model,color,size,capacity,configuration,price_snapshot,price_checked_at,availability,condition,active,product_type,dimensions,specifications,keywords
B0GQVT73ZD,Apple iPhone 17E 256 Autonomía,Apple,Tecnología,Tecnología,,"Apple iPhone 17E 256 Autonomía, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Smartphone disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0GQVT73ZD.svg,,,,,,,,unknown,new,true,Smartphone,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","apple, iphone, 17e, 256, autonomía, smartphone"
B0H2HZ52C8,Pthtechus Inteligente Videollamada Impermeable Despertador,PTHTECHUS,Tecnología,Tecnología,,"Pthtechus Inteligente Videollamada Impermeable Despertador, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Reloj inteligente infantil disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0H2HZ52C8.svg,,,,,,,,unknown,new,true,Reloj inteligente infantil,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","pthtechus, inteligente, videollamada, impermeable, despertador, reloj, infantil"
B0GR5ZBN8Z,Samsung Smartphone Android Display Cámara,Samsung,Tecnología,Tecnología,,"Samsung Smartphone Android Display Cámara, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Smartphone disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0GR5ZBN8Z.svg,,,,,,,,unknown,new,true,Smartphone,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","samsung, smartphone, android, display, cámara"
B0H3HPFCVR,Nexusguard Cámara Oculta Vigilancia Cables,NexusGuard,Tecnología,Tecnología,,"Nexusguard Cámara Oculta Vigilancia Cables, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Cámara de vigilancia disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0H3HPFCVR.svg,,,,,,,,unknown,new,true,Cámara de vigilancia,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","nexusguard, cámara, oculta, vigilancia, cables"
B0GYDPPJ1S,Wityeye Adaptador Inalámbrico Inalámbrico Bluetooth,WityEye,Tecnología,Tecnología,,"Wityeye Adaptador Inalámbrico Inalámbrico Bluetooth, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Adaptador disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0GYDPPJ1S.svg,,,,,,,,unknown,new,true,Adaptador,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","wityeye, adaptador, inalámbrico, bluetooth"
B0GQQ32CLP,Teléfono Personas Ms601 Smartphone WhatsApp,Genérico,Tecnología,Tecnología,,"Teléfono Personas Ms601 Smartphone WhatsApp, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Smartphone disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0GQQ32CLP.svg,,,,,,,,unknown,new,true,Smartphone,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","genérico, teléfono, personas, ms601, smartphone, whatsapp"
B08N5S8CB6,Xiaomi 17 Ultra Smartphone Teleobjetivo,Xiaomi,Tecnología,Tecnología,,"Xiaomi 17 Ultra Smartphone Teleobjetivo, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Smartphone disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B08N5S8CB6.svg,,,,,,,,unknown,new,true,Smartphone,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","xiaomi, ultra, smartphone, teleobjetivo"
B0G4ZFP5NH,Samsung Galaxy S26 Teléfono Fabricante,Samsung,Tecnología,Tecnología,,"Samsung Galaxy S26 Teléfono Fabricante, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Smartphone disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0G4ZFP5NH.svg,,,,,,,,unknown,new,true,Smartphone,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","samsung, galaxy, s26, teléfono, fabricante, smartphone"
B0GJFC1Q9Z,Hisense 40A4S pulgadas Enhancer Reducción,Hisense,Tecnología,Tecnología,,"Hisense 40A4S pulgadas Enhancer Reducción, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Televisor disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0GJFC1Q9Z.svg,,,,,,,,unknown,new,true,Televisor,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","hisense, 40a4s, pulgadas, enhancer, reducción, televisor"
B0H5CCF9NH,Localizador Rastreador Magnético Compatible Equipaje Negro,Genérico,Tecnología,Tecnología,,"Localizador Rastreador Magnético Compatible Equipaje Negro, seleccionado para el catálogo editorial de SecretShop. Consulta en Amazon España la ficha completa, las variantes, la compatibilidad, el precio y la disponibilidad actual antes de comprar.",Localizador disponible en Amazon España; revisa la ficha y las variantes actuales.,https://secretshops.github.io/assets/images/amazon/B0H5CCF9NH.svg,,,,,,,,unknown,new,true,Localizador,,"Consulta la ficha de Amazon España para confirmar especificaciones, variantes y compatibilidad.","genérico, localizador, rastreador, magnético, compatible, equipaje, negro"
